Fermin Lopez	Lopez
4	
2	
Estadi Johan cruyff	
Frenkie De Jong	De Jong
Athletic Club	
4-1 against Sevilla	
Ferran Torres	Torres
Lamine Yamal	Yamal
Frenkie De Jong	De Jong
Against Rayo Vallecano	
6-0 against Valencia	
2	
2	
Marcus Sorg	Sorg
10	
12	
36	
24	
10	
1	
53	
30 June 2031	
4	
€500 million	500 millions euros
Aston Villa	
22 November 2002	
Elche CF	
Nico Williams	Williams
Ousmane Dembélé	Dembélé
2nd	
Inter Milan	
Joan García	García
Joan García	García
Joan Laporta	Laporta
9th	
28	
32	
3	
Robert Lewandowski	Lewandowski
Gavi, Pedri Fermín López, Marc Casadó, Dani Olmo, Frenkie de Jong, Marc Bernal, Guille Fernández, Dro Fernández	
Pau Cubarsí, Alejandro Balde, Ronald Araujo, Andreas Christensen, Gerard Martín, Jules Kounde, Eric García
Joan Garcia, Roony Bardghji, Marcus Rashford	
Marc-André ter Stegen, Wojciech Szczęsny, Joan Garcia	
Álex Valle, Clement Lenglet, Pablo Torre, Pau Víctor, Íñigo Martínez, Ansu Fati, Ander Astralaga, Iñaki Peña, Héctor Fort, Oriol Romeu	
Valencia CF, Newcastle, Getafe, Real Oviedo, Sevilla	
Valencia CF, Real Oviedo, Real Sociedad, Celta, Athletic Club	
Vissel Kobe, FC Seoul, Daegu FC	
Ander Astralaga, Ansu Fati, Iñaki Peña, Héctor Fort	
Dro Fernández, Guille Fernández, Toni Fernández, Xavi Espart	
Lamine Yamal, Marc Bernal, Toni Fernández, Pau Cubarsi, Xavi Espart	
Marc‑André ter Stegen, Wojciech Szczęsny, Robert Lewandowski	
Alejandro Balde, Gerard Martín, Marc Bernal, Lamine Yamal, Raphinha, Roony Bardghji	
Barça vs PSG, Sevilla vs Barça, Real Madrid vs Barça, Chelsea vs Barça 	
Marcus Rashford, Fermin Lopez, Lamine Yamal, Ferran Torres	
Barça vs Valencia, Barça vs Getafe, Real Oviedo vs Barça, Barça vs Real Sociedad	
Pedri, Frenkie De Jong, Ronal Araujo	
Frenkie De Jong	
Lamine Yamal, continue	
La Liga, UEFA Champions League, Copa del Rey, Supercopa de Espana	
Mallorca vs Barcelona, Levante vs Barcelona, Real Sociedad, Barcelona vs Girona, Barcelona vs Athletic Club, Barcelona vs Alaves	
Levante vs Barcelona, Barcelona vs Girona, 	
Braga, Como	
Chelsea vs Barcelona	
Jules Koundé (OG), Estêvao, Liam Delap	
1. Choose the right membership type (age/category), 2. Complete the registration form (online or in person), 3. Provide required documentation and pay the fee , 4.  Wait for confirmation and receive your membership card	
1. Age between 8 and 18, 2. Residence in Spain or abroad (international players accepted), 3. Strong football skills, 4. Positive mindset and work ethic	
1. Visit the official FC Barcelona ticketing platform, 2. Choose the match you want to attend, 3. Select your seating zone and number of tickets, 4. Enter your personal information and complete payment, 5. Download and log in to the FC Barcelona Tickets app, 6. Access your digital ticket in the app, 7. Open the QR code on match day and scan it at the stadium entrance.	
1. Purchase your stadium tour ticket online in advance, 2. Check opening hours and any match-day restrictions, 3. Go to the Camp Nou tour entrance on the day of your visit, 4. Present your digital ticket and a valid ID, 5. Follow signs to access the museum and tour areas, 6. Enjoy the exhibits and panoramic stadium views, 7. Explore optional add-ons like guided tours or VR experiences if available.1	
1. Visit the official Barcelona website and choose the “socio” option, 2. Select your membership category, 3. Fill out the online registration form with required personal details, 4. Upload a photo and provide payment information, 5. Submit the application, 6. Wait for the club to process and mail your membership card, 7. Alternatively apply in person at the Supporter Services Office.	
Visit the official Barcelona website and choose the “socio” option, 2. Select your membership category, 3. Fill out the online registration form with required personal details, 4. Upload a photo and provide payment information, 5. Submit the application, 6. Wait for the club to process and mail your membership card, 7. Alternatively apply in person at the Supporter Services Office.	
